id	muchik	spanish
48	achichone%20%28L%29,%20achecone%20%28Q%29,%20llaipi%20%28M%29	agradable%20%28cosa%20agradable%29,%20gustoso,%20rico
49	kallapek%20%28M%29	amistoso
50	tefk%20%28M%29,%20siet%20%28M%29	ancho
51	sanku%20%28M%29	angosto,%20%C3%A1ngulo
52	amelec%20chi%20%28V%29	apartaos%20vosotros
53	%C3%A6ng,%20t%C3%A6ng%C3%A6n%20%28C%29,%20aiong%20%C3%A6n	aquellos
54	nep%C3%A6t%20%28C%29,%20nepet%20%28M%29	%C3%A1rbol%0A-%20Sobre%20el%20%C3%A1rbol%20=%20nepet%C3%A4rr%20jech%C3%A4k%20%28M%29%0A-%20Pie%20de%20%C3%A1rbol%20=%20xllung%20%28C%29
55	chupetes%20%28Q%29	aretes
56	chip%C3%A1n%20%28M%29	a%C3%BAn,%20todav%C3%ADa
57	mecherr%C3%A6co%20%C3%B1ai%C3%B1%20%28V%29	ave%20hembra
58	sacpi%20tacpi%20%28L%29,%20fappi%20%28Q%29	barb%C3%B3n
59	maned%20%28Mar%29,%20man%20%28Z%29	beber%0A-%20Yo%20bebo%20=%20man%20ei%C3%B1%0A-%20El%20lugar%20donde%20se%20bebe%20=%20manuc,%20manuc%20%C3%A6ro%20%28V%29
60	peinas%20unam%20%28WL%29%28Z%29%28LL%29,%20pe%C3%B1o%20c%C3%A6ss	buenos%20d%C3%ADas
61	ssonte%20%28M%29,%20sonto%20%28B%29,%20pessak	buitre,%20gallinazo
62	t%C3%B3kam	abandonar
63	jaio%20%28M%29	aguado
64	utkam%20%28M%29,%20utcam%20%28C%29	am%C3%ADgdalas
65	moijei%C3%B1%20%28M%29	apenarse
66	%C3%B1itir%20%28M%29,%20pot%20%28V%29,%20potes%20%28L%29	asentaderas,%20culo,%20nalgas
67	chonkik%20%28M%29	astro
68	sienko	asustado
69	ustenic%20%28L%29,%20usinic%20%28Z%29	bacinica,%20bacinilla
70	chelfe%20%28M%29	bilis
71	uknei%C3%B1%20%28M%29	brincar,%20saltar
72	xllon%20t%C3%A6r%20%28C%29,%20jont%C3%A4rr,%20fopsi%20%28M%29,%20xllont%C3%B6r%20%28C%29	buche
73	-%C3%A6ero	terminaci%C3%B3n%20%22%C3%A6ro%22%0A-%20al%C3%A6c%C3%A6ro%20=%20del%20cacique
74	aja%20%28M%29,%20mollepk%20%28M%29	amo,%20patr%C3%B3n
75	chepuk%20%28M%29	aroodillado
76	cunti%20%28RS%29	atado
77	%C3%B1ac%20%28B%29,%20%C3%B1%C3%A4ss%20%28M%29	bonito
78	hongongo%20%28B%29	abeja
79	alp%C3%A6c%20%28C%29%28Z%29,%20olp%C3%A6k,%20alp%C3%A6c%20%28V%29	adentro,%20dentro%0A-%20Voy%20adentro%20=%20olp%C3%A6c%20o%20i%C3%B1%20t%C3%A6c%20%28V%29%0A-%20Hacia%20adentro%20=%20olp%C3%A6c%20totna%20%28V%29
80	ch%C3%A4ko%20%28M%29	algo%20amado
81	unam%20%28M%29%28L%29,%20etim	amanecer,%20alba%0A-%20He%20amanecido%20bien%20=%20atim%20e%20fun%0A-%20Al%20amanecer%20=%20tsiak%C3%A4l,%20%C3%B1am%20luc%C9%A5,%20caep%20luc%C9%A5
82	nenong%20%28M%29	ano
83	f%C3%BCr%20%28M%29	a%C3%B1o
84	campoller%20%28C%29	a%20prop%C3%B3sito
85	xai%C3%B1g	art%C3%ADculo%0A-%201er%20art%C3%ADculo%20=%20on%C3%A6c%20xang%0A-%202do%20art%C3%ADculo%20=%20pac%20xang
86	%C3%B1asja%20%28M%29	ayer%20por%20la%20noche
87	ssir%20%28M%29	buscar
88	llella%20%28M%29%28B%29,%20chillpi%20%28M%29	abrigo
89	s%C3%B3pik	abuelito
90	alek%20%28B%29,%20mach%C3%A6c%20%28C%29,%20moch%C3%A4k%20%28M%29,%20machk%C3%A4ro%20%28M%29,%20huatan,%20mac%C9%A5%C3%A6c	%C3%ADdolo%20%28de%20huaca%29
91	fi%C3%B1,%20poc%20poc%20%28C%29	agorero%20%28p%C3%A1jaro%20agorero%29
92	fu%20%28M%29,%20fug%20%28B%29	aguja
93	toko	alacena%0AEl%20quechuismo%20%22tuqu%22%20es%20equivalente
94	pirchi%20zoerna%20%28C%29,%20rometec%20%28V%29%28L%29%28Z%29	alienado,%20insensato,%20loco
95	tsaj%20%28M%29,%20cerg,%20c%C3%A4g%20%28B%29,%20dserrg%20%28B%29	amargo
96	wesja%20%28M%29,%20weiss%20%28M%29	anoche
97	amelec%20%28V%29	ap%C3%A1rtate%20t%C3%BA
98	ap%20%28C%29%28M%29,%20kon%20%28M%29	aprender
99	ap%20ei%C3%B1,%20ap%20az%20%28V%29	aprendo,%20aprendes
100	aio%20%28C%29%28Z%29	aquello
101	jen%20%28M%29,%20j%C3%A6k%20%28M%29	atar,%20cautivar
102	cofunta%20%28C%29	aut%C3%B3nomo,%20libre,%20independiente
103	chikopek%20%28M%29,%20chikop%C3%A4k	autor
104	ajpe%20sapa%20%28RS%29	boc%C3%B3n
105	x%C3%A6ct%C3%A6cna%20%28C%29,%20x%C3%A6ctecna	broma
106	peinar%20%28V%29%28L%29,%20peinas%20%28Z%29,%20peines%20%28Z%29	buen
107	tsup%20%28M%29	bueno,%20%C3%BAtil,%20provecho%0A-%20Muy%20bueno%20=%20campe%C3%B1o
108	karren	bullir,%20hervir
109	x%C3%A6ct%C3%A6c%20na%20%28V%29	burla%20%28jugando%20con%20burlas%29
110	%C3%A7%C3%A6c,%20z%C3%A6c%20%28C%29%28Z%29,%20ssuk%20%28M%29	abajo%0A-%20Hacia%20abajo%20=%20c%C3%A6ctor,%20c%C3%A6c%20torna,%20c%C3%A6c%20%28adv.%29%0A-%20De%20abajo%20=%20c%C3%A6c,%20chi%20%28V%29
111	odka%20%28M%29	abierto
112	menk%20ds%C3%ADs,%20namdsis	abortar
113	ep%20kessek%20%28M%29	acicate,%20consejo
114	m%C3%A6cha%20%28C%29,%20much%20%28M%29	adorar
115	macy%20coi%C3%B1,%20macy%20coz%20%28V%29	ajustar%20cuentas%20%28deudas%29
116	llepc%20%28C%29	alcahuetear
117	kichoi%20%28M%29	alga
118	moiskik%20%28M%29,%20mois%20%28M%29,%20moix%20%28C%29,%20chepec%20%28Mar%29,%20amalai%20%28L%29	alma%0A-%20Sin%20alma%20=%20pir%20moix%20%28V%29%0A-%20Del%20alma%20mochica%20=%20moixeio%20Muchik
119	ch%C3%A6co%20%28C%29,%20ch%C3%A4ko	amada,%20querida
120	lec%C9%A5%C3%A6c%20xllang%20%28V%29	a%20medio%20d%C3%ADa
121	ang%20%28C%29,%20toeng%20%28C%29	aquel%0A-%20De%20aquel,%20de%20ti%20=%20lequich%20%28V%29
122	irrmo	asombrado
123	irr%C3%A6m%20%28C%29,%20irrm%20%28M%29,%20sienk%20%28M%29	asustar,%20tener%20miedo
124	t%C3%A4m%20%28M%29	atenci%C3%B3n,%20dirigir%20la%20atenci%C3%B3n
125	rometec%20%28V%29%28L%29%28Z%29,%20pirchi%20z%C3%A6rna%20%28C%29	atolondrado,%20perturbado
126	churrm%20%28M%29,%20shupnat%20%28L%29	%C3%A1varo
127	chhock,%20koch	bestia
128	tellpe	blando,%20d%C3%A9bil
129	pe%C3%B1ass%20%28M%29,%20pe%C3%B1o%20chiss%C3%A4k%20%28M%29	bondad
130	m%C3%B6silyon%20%28B%29,%20p%C3%B3ter%20%28B%29	burro,%20pata%20de%20burro
131	porra%20%28C%29%28Z%29	adormecimiento
132	moss%20%28V%29	a%20este
133	n%C3%A4t%20%28M%29	alabar
134	feluk%20%28B%29	alfombra
135	allo%20%28M%29	algo%20m%C3%A1s
136	u%20%28M%29,%20ukik%20%28M%29,%20uquic%20%28C%29	aliento
137	aiin%20%28C%29,%20ain%20%28M%29,%20%C3%A7inc%20%28C%29,%20ssin%20%28M%29	all%C3%AD%20%28adv%29%0A-%20All%C3%AD%20te%20llaman%20=%20cin%20coz%20xllipquem%20%28V%29%0A-%20De%20all%C3%AD%20=%20ei%20nich,%20ciuquich%0A-%20All%C3%AD%20mismo%20=%20ssin%20ana%20%28M%29,%20%C3%A7in%20pitan%20%28V%29
138	on%C3%A4k%20pelen%20%28M%29,%20onek%20pelen%20%28M%29	anteayer
139	nang%20uss%20%28C%29,%20nanguss%20%28M%29	antes%0A-%20De%20antes%20=%20%C3%A6p%C3%A6cna%20%28V%29%0A-%20Antes%20que%20t%C3%BA%20vinieses%20=%20%C3%A6ntazta%20tzhang%20teziun
140	nerk%20%28M%29	apagar
141	ciom%C3%A6n%20c%C3%A6n%20%28V%29	as%C3%AD%20mismo
142	ziom%C3%A6ngz%C3%A6n%20%28C%29,%20cio%20m%C3%A6n%20%28C%29	asimismo
143	u%C3%B1o%20%28C%29%28M%29	bajo,%20menor
144	jir%20%28M%29%28Z%29,%20xllic%20%28C%29	absolutamente,%20completamente,%20totalmente
145	siaip%20%28M%29,%20lyam,%20myany	acabar
146	jom%20%28M%29	adornar
147	utcam%20%28C%29,%20utkam%20%28M%29	agallones%20%28am%C3%ADgdalas%29
148	arts%C3%B3peke,%20quixmic,%20kismike	antepasado,%20antiguo%28a%29
149	mude%20%28B%29	arbusto%20para%20cercos
150	pui%20%28M%29,%20puj%20%28C%29	ascender,%20subir
151	fench%C3%A4p%20%28M%29	atr%C3%A1s
152	ataz%20%28C%29,%20at%20%28M%29,%20p%C3%A6iz%20%28C%29,%20p%C3%A4is%20%28M%29	aunque
153	%C2%A1mai%C3%B1%21	%21ay%21%0A-%20%C2%A1ay%20de%20mi%21%20=%20%C2%A1ana%20moi%C3%B1%21,%20%C2%A1ana%20xiana%21%20%28V%29
154	pelen%20%28Bas%29%28M%29%28V%29	ayer%0A-%20Has%20de%20ir%20como%20ayer%20=%20tukas%20pelen%20man
155	janmo	barranco
156	tum%20%28M%29	barro%0A-%20Plato%20de%20barro%20=%20tuma%20plat%C3%B3n
157	jim%20%28B%29,%20jaik%20%28M%29	bat%C3%A1n
158	pe%C3%B1ass%20%28M%29,%20pe%C3%B1%C3%A6ss%20%28V%29	bienes
159	shemeteque%20%28L%29,%20she%20meteque%20%28L%29	bulto,%20paquete
160	x%C3%A6ctocna,%20x%C3%A6ctecna	burla
161	ajiss%C3%A6k%20%28M%29%28Z%29	acci%C3%B3n,%20accionar,%20acto
162	loctopan,%20locan%20%28V%29	adi%C3%B3s%20%28a%20uno%29
163	lec%20%28Z%29%28M%29	%C2%BFa%20d%C3%B3nde%3F%20%28interr.%29%0A-%20A%20donde%20Pedro%20=%20Pedrong%20lec%20%28V%29%0A-%20A%20donde,%20en%20qu%C3%A9%20lugar%20=%20inc%20%28C%29%20%28adv.%29%0A-%20%C2%BFA%20d%C3%B3nde%20est%C3%A1%3F%20=%20%C2%BFinonc%20loc%3F%20%28C%29%20%28adv.%29
164	%C3%A6xllang%20%28C%29	agacharse
165	cin%20pitan%20%28C%29	ah%C3%AD%20mismo%20%28adv%29
166	jam%20%28M%29%28V%29%28L%29,%20xaam%20%28B%29,%20xllamu	algod%C3%B3n
167	choeco%20%28C%29,%20ch%C3%A4k	amado
168	c%C9%A5%C3%A6c%20%28C%29,%20chec	amar%0A-%20Amar,%20querer%20=%20tem%20%28M%29,%20llik%20%28M%29
169	llik%20%28M%29	amar,%20venerar
170	%C3%A4pak	amigo
171	%C2%BFintse%20sagma%3F	%C2%BFD%C3%B3nde%20andas%3F%0Aandas%20%28de%20andar%29
172	%C3%B1angcuio%20%C3%B1ai%C3%B1%20%28V%29	ave%20macho
173	diacome,%20pulato%20%28B%29	avispa
174	ch%C3%A4ko%20%28M%29,%20ch%C3%A4ko%20chiss%C3%A6k%20%28M%29	benevolencia,%20simpat%C3%ADa
175	%C3%B1ikop%C3%A4k%20%28M%29,%20%C3%B1icop%C3%A6c	bienhechor
176	ium%20%28M%29	bucear
177	pe%C3%B1o%20nep%C3%A6c%20%28WL%29	buen%20%C3%A1rbol
178	fak%20%28M%29,%20fec%20%28V%29	buey
179	oj	acostarse
180	laio%20%28C%29%28Z%29,%20jaio%20%28M%29	acuoso
181	lech%20chip%C3%A6c%20%28C%29,%20lec%C9%A5%20chip%C3%A6c	adulto
182	cheko%20chissek%20%28M%29	afecto
183	tektek%20%28M%29	ala
184	fu%20%28M%29	alfiler
185	ong%20%28V%29%28SCH%29	algarrobo%0A-%20Flor%20de%20algarrobo%20=%20po%C3%B1a
186	j%C3%B6ng%20%28M%29	alzarse,%20levantarse
187	llepc%20%28C%29	amansar,%20alcahuetear,%20cebar
188	metzh%C3%A6qu%20%28C%29	amenzar%0A-%20soler%20amenzar%20=%20metzh%20c%C3%A6p%C3%A6%20coi%C3%B1%20%28V%29
189	kall%C3%A4pak,%20kallapek%20%28M%29	amigable,%20sonriente%0A-%20Poco%20amigable%20=%20posop%C3%A4k%20%28M%29
190	mitso	amigos,%20hermanos%0A-%20Hacer%20amigos%20=%20chicllamc
191	chamache	anchoveta
192	antse,%20anche	anda%0A-%20Anda%20trae%20=%20an%20tet%20%28V%29%0A-%20Anda%20a%20comer%20=%20an%20funod%20%28V%29
193	tsurrm%20%28M%29	apretar
194	ol%C3%A6ch%C3%A6c%20%28C%29,%20fok%20%28M%29,%20f%C3%B3nke%20%28B%29,%20olec%C9%A5%C3%A6c%20%28V%29	arriba%0A-%20Hacia%20arriba%20=%20olc%C9%A5%20totna%20%28V%29%0A-%20De%20arriba%20=%20olech%20tot%20ich%20%28V%29
195	aker	a%20ver
196	chim%20%28M%29	bailar%0A-%20%C2%BFQuieres%20bailar%3F%20=%20%C2%BFlokas%20tsenimnam%3F
197	filla%20%28B%29	bast%C3%B3n%0A-%20Bast%C3%B3n%20de%20mando%20=%20pup%20%28B%29
198	pol,%20polod%20eio%20%28V%29	bazo
199	sap%20%28V%29%28B%29,%20sape%20%28L%29%28Kos%29%28Z%29	boca%0A-%20En%20la%20boca%20=%20ssap%C3%A6c%20%28V%29
200	pufpuf%20%28C%29%28M%29	bofes
201	peinas%20neis%20%28M%29,%20pernar%20neiz	buenas%20noches
202	%C3%B1amo%20%28M%29,%20%C3%B1amu	ahumado
203	kus%20%28M%29,%20kuts%20%28M%29	aire
204	%C3%B1un	aldea,%20pueblo
205	ain%20%28M%29,%20ssiuk%20%28M%29	all%C3%A1%0A-%20Por%20all%C3%A1%20=%20coing%20na%20%28V%29%0A-%20M%C3%A1s%20all%C3%A1%20=%20cietna%20%28V%29,%20cietu%0A-%20De%20all%C3%A1%20=%20ssin%20ich%20%28M%29%0A-%20Hacia%20all%C3%A1%20=%20ciuc%20totna%20%28V%29%0A-%20All%C3%A1%20mismo%20=%20ssin%20pitan%20%28M%29
206	%C3%A6ntazta%20%28V%29	antes%20que%0A-%20Antes%20que%20yo%20me%20fuese%20=%20%C3%A6ntazta%20moi%C3%B1%20t%C3%A6ziuno%20%28V%29
207	ame%20%28C%29,%20aie%20%28M%29%28Z%29	as%C3%AD%20%28adv%29
208	jurr%20%28M%29	%C3%A1spero,%20acre
209	chepk%20%28M%29	atacar
210	shemeteque%20%28L%29,%20xemet%C3%A6c	atado,%20paquete
211	%C3%B1ai%C3%B1%20%28C%29,%20nyan%20%28Bas%29,%20%C3%B1a%C3%B1%20%28B%29,%20%C3%B1a%C3%B1e%20%28L%29%28Q%29%28Z%29	ave
212	oxall%C3%A6n%20%28C%29,%20oijm%20%28M%29,%20oxllm%C3%A6d%20%28C%29	avergonzarse
213	xemet%C3%A6c%20%28C%29,%20tektep%20%28M%29	axila
214	ch%C3%A9pu%20%28B%29	basura
215	chi%C3%A7%C3%A6c,%20chiz%C3%A6r,%20chic%C3%A6c%20%28C%29	bien%20%28gracias%29
216	cap%C3%A6cnem%20c%C3%A6p%C3%A6c%20%28C%29,%20cap%C3%A6c%20%C3%A6ss%20%28V%29	abogado
217	ss%C3%B6l%20%28M%29	absolver,%20liberar
218	r%C3%BCz%20%28M%29,%20rutc	acequia,%20canal
219	op%C3%A6c%20ich%20%28V%29	adentro,%20de%20adentro
220	is%3F%20%28M%29	%C2%BFa%20d%C3%B3nde%3F
221	campoller%20%28C%29%28Z%29	adrede,%20a%20prop%C3%B3sito
222	moijei%C3%B1%20%28M%29	afligirse
223	niquer%20%28Z%29,%20miker%20%28M%29%28L%29	%C3%A1gil,%20ligero
224	ssin%20%28M%29%28B%29,%20zin%20%28C%29	ah%C3%AD%0A-%20%C2%BFEst%C3%A1%20ah%C3%AD%3F%20=%20loc%C3%A6ng%C3%A7in%0A-%20De%20ah%C3%AD%20=%20min%20ich%20%28M%29,%20men%20ich%20%28M%29,%20ssiuk%20ich%20%28M%29%20
225	niyu%20%28M%29	alegre,%20fresco
226	kais	alimentar,%20conservar
227	col%20%28Mar%29,%20coq	animal
228	f%C3%BCr%20mei%C3%B1%20%28M%29,%20f%C3%A6rmei%C3%B1%20%28M%29	anualmente
229	%C3%A7io%20%28C%29,%20aio%20%28C%29,%20aiung%C3%B3%20%28M%29	aquel%20%28pron%29,%20suyo
230	ianchek%20%28M%29,%20ianch%C3%A4k%20%28M%29,%20yantshek%20%28B%29	ara%C3%B1a
231	%C3%B1um%20ssak%20%28M%29	audici%C3%B3n,%20oido
232	jerrep%20%28M%29	ausente
233	sacpi%20%28B%29,%20sakpi%20%28M%29,%20com%C3%A6n%20%28C%29	barba
234	ayen%20%28Kos%29	bien
235	chumap%C3%A4k%20%28M%29,%20chumao%20%28L%29,%20chumay%20%28Q%29%28Z%29	borracho
236	peinas%20nerrem%20%28WL%29%28Z%29%28LL%29,%20peinas%20sinape	buenas%20tardes
237	filca%20%28Z%29,%20fijka%20%28M%29,%20fixlla%20%28C%29	caballero,%20noble
238	t%C3%BCp%20%28M%29%28B%29	caballito%20de%20totora
239	coj,%20col	caballo%0A-%20Voy%20a%20caballo%20=%20coler%20ei%C3%B1%20t%C3%A6c%0A-%20Encima%20del%20caballo%20=%20colu%20cap%C3%A6c%0A-%20De%20los%20caballos%20=%20colungo%20%C3%A6no%0A-%20Para%20los%20caballos%20=%20colung%20%C3%A6no%20p%C3%A6n%0A-%20%C2%BFTe%20vas%20a%20caballo%3F%20=%20tuk%C3%A4s%20kojer%3F
240	%C3%A7ac	cabello
241	jacse%20%28RS%29%28L%29,%20jersqui%20%28V%29,%20jech%20%28M%29,%20jeech%20%28B%29	cabeza%0A-%20El%20remolino%20de%20la%20cabeza%20=%20cuntzhiu,%20cuntzhiungo%0A-%20En%20la%20cabeza%20=%20lech%C3%A6c
242	laiti%20%28M%29	cad%C3%A1ver
243	tzhipa%20%28C%29%28V%29,%20tzhipango%20%28V%29,%20chipa%20%28M%29,%20tsipa%20%28M%29	cadera,%20pelvis
244	nam%20%28M%29%28C%29	caer%0A-%20Cae,%20cay%C3%B3%20=%20n%C3%A1mpa
245	huy%20%28RS%29	caerse
246	kal%20%28M%29	cal
247	chun%20%28M%29	calabaza
248	n%C3%BCv%20%28M%29	calentar
249	pe%C3%B1o%20chissak%20%28M%29	calidad
250	millkss%C3%A4k	calumnia,%20habladur%C3%ADa
251	yarnan%20loc%20%28L%29	calla%20la%20boca
252	yarn%20%28L%29%28Z%29	callar
253	iarrn%20%28M%29%28Z%29	callarse
254	chicahay%20%28L%29,%20chichay%20%28L%29,%20chai%20%28M%29	calor
255	tica%20%28C%29,%20tik%C3%A4%20%28M%29,%20ticango%20%28V%29	calva,%20la%20calva
256	cojpam%20%28L%29%28Z%29,%20copp%C3%A1n%20%28V%29,%20cogpu%20%28B%29	calz%C3%B3n
257	nush%20%28B%29,%20iang%20%28M%29,%20much	camarones
258	%C3%B1ies%20%28M%29	cambiar,%20transformar
259	siajm%20%28M%29	caminar
260	kono%20%28M%29,%20konongo%20%28M%29	camino
261	chesko%20%28M%29,%20cheskngo%20%28M%29	camisa
262	op%C3%A6n%20%28C%29,%20%C3%B6p%20%28M%29,%20opem%20%28B%29,%20opene%20%28L%29%28Q%29%28Z%29	camote
263	tsut%C3%A4d%20%28M%29	campanilla,%20%C3%BAvula,%20ap%C3%A9ndice%20del%20paladar
264	r%C3%BCz%20%28M%29	canal,%20acequia
265	xllamu%20%28C%29%28V%29	canas%0A-%20Pelo%20blanco%20=%20jamu%20%28M%29
266	japass%20%28M%29,%20japa	canasta,%20canasto
267	hermot%20%28L%29,%20apum%20%28V%29,%20quersu	cancha%20%28ma%C3%ADz%20tostado%29
268	joc%20%28L%29,%20hog%20%28V%29,%20oog%20%28B%29	candela
269	yan%20%28B%29,%20uij%20%28M%29,%20iang	cangrejo
270	osp%20%28M%29	cansarse
271	fill%20%28M%29	cantar
272	fi%C3%A1%20%28L%29	c%C3%A1ntaro
273	manur%20%28C%29,%20manuk%20%28M%29	cantinas,%20lugar%20donde%20se%20bebe
274	quechcan%20%28B%29	canto
275	coma%20%28L%29%28V%29,%20cumoss%20%28M%29	ca%C3%B1a
276	m%C3%A6tc%C3%A6n%C3%B3%20cum%C3%B3%20%28V%29	ca%C3%B1as%20grandes
277	kum%C3%B3%20%28M%29,%20kumoss%20%28M%29	ca%C3%B1a%20de%20az%C3%BAcar
278	chop%20%28M%29,%20faij%20%28Bas%29%28M%29,%20faig%20%28B%29	ca%C3%B1averal,%20paja
279	uis%20%28M%29	ca%C3%B1averal,%20totora
280	jucto%20%28B%29%28V%29,%20lutu%20%28C%29,%20jute%20%28M%29	capuz,%20cap%C3%BAs%0A-%20Sin%20capuz%20=%20pir%20lutu
281	toc%20%28L%29,%20torque%20%28V%29,%20tot%20%28B%29	cara,%20la%20cara
282	foji	caracol
283	kosk%20%28M%29	carb%C3%B3n%20encendido,%20brasa
284	okis%20%28B%29	cardo%20santo%20%28vegetal%29
285	quenchum%20%28B%29,%20chichuy%20%28RS%29,%20consh%20%28V%29,%20conschoc%20%28L%29,%20concho%20%28V%29	carne
286	%C3%A6rquic%20%28C%29,%20consiche%20%28Q%29,%20c%C3%A6nc%C9%A5o	carne%0A-%20De%20carne%20=%20arkeng%20kapo%20%28M%29%0A-%20Carne%20humana%20=%20%C3%A6rquic,%20%C3%A6rqueeng%20%28V%29
287	c%C9%A5ec%C9%A5%20%28C%29	carrillo
288	kopi%20%28B%29%28SCH%29	carrizo
